종목명,종목코드,전일가
롯데지주,004990,29900
롯데지주우,00499K,47400
휴스틸,005010,14550
부산주공,005030,591
코스모신소재,005070,46150
SGC에너지,005090,47300
한창,005110,1015
빙그레,005180,53200
녹십자홀딩스,005250,27150
녹십자홀딩스2우,005257,50500
롯데칠성,005300,133500
롯데칠성우,005305,69900
국동,005320,2735
모나미,005360,4625
현대차,005380,209000
현대차우,005385,98500
현대차2우B,005387,101000
현대차3우B,005389,93300
신성통상,005390,3395
코스모화학,005420,16100
한국공항,005430,43850
현대그린푸드,005440,8570
POSCO,005490,274500
삼진제약,005500,26300
SPC삼립,005610,70800
삼영전자,005680,11400
파미셀,005690,13050
넥센,005720,4560
넥센우,005725,3335
크라운해태홀딩스,005740,8580
크라운해태홀딩스우,005745,12850
대림B&Co,005750,7360
신영와코루,005800,118500
풍산홀딩스,005810,28300
원림,005820,19300
DB손해보험,005830,54000
에스엘,005850,31200
휴니드,005870,8590
대한해운,005880,2640
삼성전자,005930,78300
삼성전자우,005935,71200
NH투자증권,005940,12500
NH투자증권우,005945,11650
이수화학,005950,14550
동부건설,005960,14600
동부건설우,005965,40200
동원산업,006040,227000
화승인더,006060,6100
사조오양,006090,9330
삼아알미늄,006110,27000
SK디스커버리,006120,46400
SK디스커버리우,006125,36300
한국전자홀딩스,006200,2180
제주은행,006220,6130
LS,006260,54100
녹십자,006280,218000
대원전선,006340,1770
대원전선우,006345,2960
GS건설,006360,39600
대구백화점,006370,11650
카프로,006380,4790
한일현대시멘트,006390,33300
삼성SDI,006400,655000
삼성SDI우,006405,346500
인스코비,006490,3160
대림통상,006570,3525
대한유화,006650,183000
삼성공조,006660,16800
영풍제지,006740,7580
미래에셋증권,006800,8650
미래에셋증권우,006805,5660
미래에셋증권2우B,00680K,4635
AK홀딩스,006840,19300
신송홀딩스,006880,5190
태경케미컬,006890,12350
우성,006980,28000
GS리테일,007070,30400
일신석재,007110,2250
미래아이앤지,007120,470
사조산업,007160,47350
벽산,007210,3915
한국특강,007280,3415
오뚜기,007310,456000
디티알오토모티브,007340,71800
에이프로젠 MED,007460,1685
샘표,007540,42650
일양약품,007570,28050
일양약품우,007575,28750
동방아그로,007590,7270
선도전기,007610,3590
폴루스바이오팜,007630,1225
이수페타시스,007660,7310
국도화학,007690,56500
F&F홀딩스,007700,33300
코리아써키트,007810,31200
코리아써우,007815,8760
코리아써키트2우B,00781K,9770
서연,007860,12300
태평양물산,007980,2275
사조동아원,008040,1110
대덕,008060,8060
대덕1우,00806K,10500
대동전자,008110,8400
이건산업,008250,11450
NI스틸,008260,3375
남선알미늄,008350,2485
남선알미우,008355,22200
문배철강,008420,3830
서흥,008490,44200
일정실업,008500,36400
메리츠증권,008560,5150
윌비스,008600,1685
아남전자,008700,2400
율촌화학,008730,27250
호텔신라,008770,78000
호텔신라우,008775,76700
금비,008870,65000
한미사이언스,008930,54200
동양철관,008970,1285
KCTC,009070,6220
경인전자,009140,36800
삼성전기,009150,197500
삼성전기우,009155,105000
SIMPAC,009160,6410
한솔로지스틱스,009180,3930
대양금속,009190,4880
무림페이퍼,009200,2500
한샘,009240,92600
신원,009270,2920
신원우,009275,41050
광동제약,009290,7430
참엔지니어링,009310,1280
대우부품,009320,2465
태영건설,009410,10500
태영건설우,009415,12200
한올바이오파마,009420,21050
KC그린홀딩스,009440,4475
경동나비엔,009450,54900
한창제지,009460,2050
삼화전기,009470,30700
한국조선해양,009540,94600
무림P&P,009580,4335
모토닉,009680,10600
삼정펄프,009770,30000
플레이그램,009810,2570
한화솔루션,009830,35500
한화솔루션우,009835,36900
명신산업,009900,30100
영원무역홀딩스,009970,46750
한국내화,010040,3525
우리종금,010050,902
OCI,010060,104000
한국프랜지,010100,2680
LS ELECTRIC,010120,55800
고려아연,010130,511000
삼성중공업,010140,5670
삼성중공우,010145,219000
우진아이엔에스,010400,7120
한솔PNS,010420,1985
지코,010580,1530
웰바이오텍,010600,1765
현대미포조선,010620,70000
진양폴리,010640,6790
화천기계,010660,2665
화신,010690,8320
평화홀딩스,010770,4460
아이에스동서,010780,44250
퍼스텍,010820,2800
S-Oil,010950,85700
S-Oil우,010955,54800
삼호개발,010960,5100
진원생명과학,011000,16200
LG이노텍,011070,364000
에넥스,011090,2625
CJ씨푸드,011150,3800
CJ씨푸드1우,011155,36850
롯데케미칼,011170,217000
HMM,011200,26900
현대위아,011210,79900
삼화전자,011230,4040
태림포장,011280,4375
성안,011300,787
유니켐,011330,1290
부산산업,011390,103500
갤럭시아에스엠,011420,3055
한농화성,011500,16300
와이투솔루션,011690,2440
한신기계,011700,3640
현대코퍼레이션,011760,16800
금호석유,011780,166000
금호석유우,011785,107000
SKC,011790,174500
STX,011810,4100
신성이엔지,011930,2145
DB,012030,950
영흥,012160,1055
아센디오,012170,1370
계양전기,012200,4085
계양전기우,012205,6920
영화금속,012280,1615
경동인베스트,012320,35350
현대모비스,012330,254500
한화에어로스페이스,012450,48000
더존비즈온,012510,73000
센트럴인사이트,012600,2490
경인양행,012610,6940
HDC,012630,10450
모나리자,012690,3885
에스원,012750,73900
대창,012800,1820
세우글로벌,013000,1725
일성건설,013360,6270
화승코퍼레이션,013520,2055
디와이,013570,6540
계룡건설,013580,32600
까뮤이앤씨,013700,2850
지엠비코리아,013870,5930
지누스,013890,77100
한익스프레스,014130,6320
대영포장,014160,2590
금강공업,014280,7820
금강공업우,014285,12950
영보화학,014440,4425
극동유화,014530,3950
태경비케이,014580,5080
한솔케미칼,014680,305500
사조씨푸드,014710,5550
한라,014790,5400
동원시스템즈,014820,51200
동원시스템즈우,014825,33550
유니드,014830,100500
성문전자,014910,2415
성문전자우,014915,8970
인디에프,014990,1310
이스타코,015020,3110
대창단조,015230,7900
에이엔피,015260,2185
부산가스,015350,84400
예스코홀딩스,015360,35800
쎌마테라퓨틱스,015540,6410
큐로,015590,457
한국전력,015760,22100
일진홀딩스,015860,5480
태경산업,015890,6700
대현,016090,2290
삼성증권,016360,44900
KG동부제철,016380,10600
KG동부제철우,016385,95800
한세예스24홀딩스,016450,7420
환인제약,016580,17800
신대양제지,016590,85700
DB금융투자,016610,6580
대성홀딩스,016710,47100
두올,016740,4315
퍼시스,016800,35800
웅진,016880,1710
광명전기,017040,2570
명문제약,017180,4730
우신시스템,017370,4095
서울가스,017390,167500
수산중공업,017550,2935
SK텔레콤,017670,57900
현대엘리베이,017800,41200
풀무원,017810,17300
광전자,017900,3260
E1,017940,48200
한국카본,017960,10750
애경산업,018250,19000
삼성에스디에스,018260,156500
조일알미늄,018470,1980
동원금속,018500,935
SK가스,018670,127500
한온시스템,018880,13450
신풍제약,019170,31950
신풍제약우,019175,40000
티에이치엔,019180,4370
세아특수강,019440,15750
하이트론,019490,4200
대교,019680,3895
대교우B,019685,2740
한섬,020000,35600
키다리스튜디오,020120,15900
일진머티리얼즈,020150,135000
아시아나항공,020560,20000
일진디스플,020760,2535
서원,021050,1945
코웨이,021240,74400
세원정공,021820,8090
삼원강재,023000,3165
MH에탄올,023150,10200
한국종합기술,023350,7150
동남합성,023450,63600
롯데쇼핑,023530,87200
다우기술,023590,22800
인지컨트롤스,023800,15300
인팩,023810,13150
에쓰씨엔지니어링,023960,2995
WISCOM,024070,3450
디씨엠,024090,23300
기업은행,024110,10300
한국콜마홀딩스,024720,19650
대원화성,024890,4115
덕양산업,024900,3305
KPX케미칼,025000,53600
SJM홀딩스,025530,3735
한국단자,025540,76300
미래산업,025560,14050
제이준코스메틱,025620,1030
한솔홈데코,025750,1685
이구산업,025820,3635
남해화학,025860,10500
한국주강,025890,5320
디피씨,026890,14700
부국철강,026940,4265
동서,026960,31000
BGF,027410,5290
마니커,027740,1160
세하,027970,1610
삼성엔지니어링,028050,22900
동아지질,028100,18300
삼성물산,028260,119000
삼성물산우B,02826K,109000
팬오션,028670,5410
